mode,encounter,time_s,hsep_ft,vsep_ft,ssep_ft
acas,8,113.9,9909.78153576263,308.622445741255,9914.58611846996
acas,8,114,9950.85791501612,309.455779074588,9955.66854229497
acas,8,114.1,9991.93439990427,310.289112407922,9996.75109149314
acas,8,114.2,10033.0109891296,311.122445741255,10037.8337645251
acas,8,114.3,10074.0876814159,311.955779074589,10078.9165598766
acas,8,114.4,10115.1644755076,312.789112407922,10119.9994760579
acas,8,114.5,10156.2413701694,313.622445741256,10161.0825116034
acas,8,114.6,10197.318364186,314.455779074589,10202.1656650712
acas,8,114.7,10238.3954563614,315.289112407923,10243.2489350423
acas,8,114.8,10279.4726455191,316.122445741256,10284.3323201206
acas,8,114.9,10320.5499305009,316.95577907459,10325.415818932
acas,8,115,10361.6273101673,317.789112407923,10366.4994301244
acas,8,115.1,10402.7047833965,318.622445741257,10407.5831523669
acas,8,115.2,10443.7823490846,319.45577907459,10448.6669843495
acas,8,115.3,10484.8600061449,320.289112407924,10489.7509247829
acas,8,115.4,10525.9377535076,321.122445741257,10530.8349723977
acas,8,115.5,10567.0155901196,321.955779074591,10571.9191259444
acas,8,115.6,10608.0935149441,322.789112407924,10613.0033841928
acas,8,115.7,10649.1715269603,323.622445741258,10654.0877459316
acas,8,115.8,10690.2496251631,324.455779074591,10695.1722099681
acas,8,115.9,10731.3278085627,325.289112407925,10736.256775128
acas,8,116,10772.4060761845,326.122445741258,10777.3414402548
acas,8,116.1,10813.4844270687,326.955779074592,10818.4262042096
acas,8,116.2,10854.56286027,327.789112407925,10859.5110658706
acas,8,116.3,10895.6413748574,328.622445741259,10900.5960241332
acas,8,116.4,10936.7199699136,329.455779074592,10941.6810779091
acas,8,116.5,10977.7986445356,330.289112407926,10982.7662261264
acas,8,116.6,11018.8773978332,331.122445741259,11023.8514677291
acas,8,116.7,11059.95622893,331.955779074593,11064.9368016771
acas,8,116.8,11101.0351369622,332.789112407926,11106.0222269455
acas,8,116.9,11142.114121079,333.62244574126,11147.1077425245
acas,8,117,11183.1931804417,334.455779074593,11188.1933474192
acas,8,117.1,11224.2723142244,335.289112407926,11229.2790406492
acas,8,117.2,11265.3515216128,336.12244574126,11270.3648212485
acas,8,117.3,11306.4308018047,336.955779074593,11311.450688265
acas,8,117.4,11347.5101540095,337.789112407927,11352.5366407605
acas,8,117.5,11388.5895774477,338.62244574126,11393.6226778102
acas,8,117.6,11429.6690713515,339.455779074594,11434.7087985028
acas,8,117.7,11470.7486349637,340.289112407927,11475.7950019398
acas,8,117.8,11511.8282675381,341.122445741261,11516.8812872356
acas,8,117.9,11552.907968339,341.955779074594,11557.9676535173
acas,8,118,11593.9877366412,342.789112407928,11599.0540999244
acas,8,118.1,11635.0675717297,343.622445741261,11640.1406256082
acas,8,118.2,11676.1474728997,344.455779074595,11681.2272297323
acas,8,118.3,11717.227439456,345.289112407928,11722.313911472
acas,8,118.4,11758.3074707134,346.122445741262,11763.4006700138
acas,8,118.5,11799.3875659961,346.955779074595,11804.4875045559
acas,8,118.6,11840.4677246377,347.789112407929,11845.5744143075
acas,8,118.7,11881.5479459809,348.622445741262,11886.6613984886
acas,8,118.8,11922.6282293778,349.455779074596,11927.7484563301
acas,8,118.9,11963.7085741889,350.289112407929,11968.8355870734
acas,8,119,12004.788979784,351.122445741263,12009.9227899702
acas,8,119.1,12045.869445541,351.955779074596,12051.0100642827
acas,8,119.2,12086.9499708466,352.78911240793,12092.0974092827
acas,8,119.3,12128.0305550956,353.622445741263,12133.1848242522
acas,8,119.4,12169.1111976911,354.455779074597,12174.2723084827
acas,8,119.5,12210.1918980442,355.28911240793,12215.3598612754
acas,8,119.6,12251.2726555738,356.122445741264,12256.4474819408
acas,8,119.7,12292.3534697068,356.955779074597,12297.5351697984
acas,8,119.8,12333.4343398775,357.789112407931,12338.6229241771
acas,8,119.9,12374.5152655278,358.622445741264,12379.7107444144
acas,8,120,12415.596246107,359.455779074598,12420.798629857
acas,8,120.1,12456.6772810716,360.289112407931,12461.8865798597
acas,8,120.2,12497.7583698854,361.122445741265,12502.974593786
acas,8,120.3,12538.839512019,361.955779074598,12544.062671008
acas,8,120.4,12579.9207069502,362.789112407931,12585.1508109055
acas,8,120.5,12621.0019541632,363.622445741265,12626.2390128667
acas,8,120.6,12662.0832531493,364.455779074598,12667.3272762878
acas,8,120.7,12703.1646034061,365.289112407932,12708.4156005725
acas,8,120.8,12744.2460044379,366.122445741265,12749.5039851324
acas,8,120.9,12785.3274557552,366.955779074599,12790.5924293867
acas,8,121,12826.4089568748,367.789112407932,12831.6809327618
acas,8,121.1,12867.4905073197,368.622445741266,12872.7694946918
acas,8,121.2,12908.572106619,369.455779074599,12913.8581146176
acas,8,121.3,12949.6537543077,370.289112407933,12954.9467919874
acas,8,121.4,12990.7354499268,371.122445741266,12996.0355262563
acas,8,121.5,13031.8171930229,371.9557790746,13037.1243168865
acas,8,121.6,13072.8989831484,372.789112407933,13078.2131633467
acas,8,121.7,13113.9808198615,373.622445741267,13119.3020651122
acas,8,121.8,13155.0627027256,374.4557790746,13160.3910216651
acas,8,121.9,13196.1446313096,375.289112407934,13201.4800324939
acas,8,122,13237.226605188,376.122445741267,13242.5690970932
acas,8,122.1,13278.3086239403,376.955779074601,13283.6582149641
acas,8,122.2,13319.3906871512,377.789112407934,13324.7473856139
acas,8,122.3,13360.4727944107,378.622445741268,13365.8366085557
acas,8,122.4,13401.5549453137,379.455779074601,13406.9258833088
acas,8,122.5,13442.63713946,380.289112407935,13448.0152093982
acas,8,122.6,13483.7193764544,381.122445741268,13489.1045863548
acas,8,122.7,13524.8016559064,381.955779074602,13530.1940137153
acas,8,122.8,13565.8839774302,382.789112407935,13571.2834910216
acas,8,122.9,13606.9663406449,383.622445741269,13612.3730178217
acas,8,123,13648.0487451739,384.455779074602,13653.4625936686
acas,8,123.1,13689.1311906453,385.289112407936,13694.5522181208
acas,8,123.2,13730.2136766915,386.122445741269,13735.6418907422
acas,8,123.3,13771.2962029495,386.955779074603,13776.7316111017
acas,8,123.4,13812.3787690603,387.789112407936,13817.8213787735
acas,8,123.5,13853.4613746695,388.62244574127,13858.9111933367
acas,8,123.6,13894.5440194267,389.455779074603,13900.0010543756
