mode,encounter,time_s,hsep_ft,vsep_ft,ssep_ft
daidalus,1,0,23079.4173703696,54.1347153648185,23079.4808590472
daidalus,1,0.1,23053.7736408411,54.1347153648185,23053.8372001398
daidalus,1,0.2,23028.1299113879,54.1347153648185,23028.1935414649
daidalus,1,0.3,23002.4861820102,54.1347153648185,23002.5498830234
daidalus,1,0.4,22976.8424527083,54.1347153648185,22976.9062248159
daidalus,1,0.5,22951.1987234824,54.1347153648185,22951.2625668434
daidalus,1,0.6,22925.5549943328,54.1347153648185,22925.6189091065
daidalus,1,0.7,22899.9112652597,54.1347153648185,22899.9752516061
daidalus,1,0.8,22874.2675362634,54.1347153648185,22874.331594343
daidalus,1,0.9,22848.6238073441,54.1347153648185,22848.687937318
daidalus,1,1,22822.9800785021,54.1347153648185,22823.0442805318
daidalus,1,1.1,22797.3363497378,54.1347153648185,22797.4006239852
daidalus,1,1.2,22771.6926210512,54.1347153648185,22771.7569676792
daidalus,1,1.3,22746.0488924428,54.1347153648185,22746.1133116145
daidalus,1,1.4,22720.4051639127,54.1347153648185,22720.4696557919
daidalus,1,1.5,22694.7614354612,54.1347153648185,22694.8260002122
daidalus,1,1.6,22669.1177070887,54.1347153648185,22669.1823448762
daidalus,1,1.7,22643.4739787953,54.1347153648185,22643.5386897849
daidalus,1,1.8,22617.8302505813,54.1347153648185,22617.895034939
daidalus,1,1.9,22592.186522447,54.1347153648185,22592.2513803393
daidalus,1,2,22566.5427943927,54.1347153648185,22566.6077259867
daidalus,1,2.1,22540.8990664186,54.1347153648185,22540.9640718821
daidalus,1,2.2,22515.2553385251,54.1347153648185,22515.3204180263
daidalus,1,2.3,22489.6116107123,54.1347153648185,22489.6767644201
daidalus,1,2.4,22463.9678829807,54.1347153648185,22464.0331110643
daidalus,1,2.5,22438.3241553303,54.1347153648185,22438.38945796
daidalus,1,2.6,22412.6804277617,54.1347153648185,22412.7458051078
daidalus,1,2.7,22387.0367002749,54.1347153648185,22387.1021525087
